CU,PGTM,27777647
RM,FMTM,27540935
GR,TAVG,27396223
CD,TMIN,26991595
NL,SNWD,26808633
UZ,TMIN,26718431
NO,TMIN,26685874
CI,TMAX,26367455
GM,PGTM,25669044
WA,TMAX,25584807
RQ,MXPN,25389274
GB,TAVG,25316278
US,WESF,25296944
KS,TAVG,25235208
PK,TMIN,24888276
UY,TMIN,24773692
PA,TMIN,24735736
US,AWDR,24429941
EN,TMAX,24257720
AJ,TMAX,24151673
TS,TMIN,24000946
RO,TAVG,23989070
TO,TMIN,23968753
MO,TMIN,23932228
TI,TAVG,23909190
ET,TMIN,23829548
KE,TMAX,23783405
MP,TMIN,23772253
RM,TMAX,23420783
BN,TAVG,23332517
GL,PGTM,23196302
HR,TMIN,23181060
NH,TAVG,23163187
VQ,TMIN,23083194
LH,TMAX,23050696
PA,TMAX,22959496
AJ,TAVG,22669340
TO,TAVG,22457240
CF,TAVG,22424464
BD,PGTM,22229595
GQ,PGTM,21586606
CY,TMAX,21481701
SY,TAVG,21197831
NZ,TAVG,21126453
CT,TAVG,20956972
CE,TMIN,20866505
IS,TMIN,20787158
US,SN01,20384515
AS,MDTX,20333245
AQ,PGTM,20299305
CA,MDPR,20116913
JA,SNWD,20103126
AR,PRCP,20083840
US,SX12,20074361
BG,TMAX,19982221
LO,TMAX,19883361
FP,TMAX,19866249
KG,TMAX,19820772
RP,PRCP,19733835
IT,PRCP,19683382
BG,TAVG,19655595
PL,TMAX,19644622
RM,TMIN,19634353
US,SX33,19504080
FJ,TAVG,19387656
LG,TMAX,19256872
PS,PGTM,19168009
TZ,TAVG,19070645
KN,TMAX,18817037
HU,TMAX,18639364
LA,TAVG,18617234
IC,PGTM,18438937
NZ,TMIN,18129334
MO,PGTM,18125610
BO,PRCP,18123902
KS,TMIN,18033520
MP,TAVG,17957696
MY,PRCP,17908754
CI,TMIN,17786181
IT,SNWD,17496622
MQ,PGTM,17472153
TS,TAVG,17436165
WA,TAVG,17403014
GV,TMAX,17236389
WQ,PGTM,17159643
US,SN31,17131210
AM,TMAX,16869897
CA,PGTM,16768026
EI,TMIN,16681709
US,SN12,16649613
RQ,FMTM,16501464
FP,TMIN,16386606
US,SN33,16372935
KE,TMIN,16294488
RQ,MNPN,16247643
GQ,TMAX,16216974
VQ,PGTM,16188588
IS,TAVG,16046603
CU,TMAX,16025981
HO,TAVG,16023282
EI,TAVG,15816921
NH,TMAX,15680552
IT,PGTM,15607382
VQ,TOBS,15584879
JA,WDFG,15511197
GH,TAVG,15480013
FM,TSUN,15469796
LG,TAVG,15350050
FR,PGTM,15334872
BC,TAVG,15293538
US,MDWM,15112556
UP,SNWD,15069051
NC,TMAX,15038981
PL,TAVG,15037095
DA,TMIN,14899981
AE,TAVG,14741883
WA,PRCP,14642538
SW,TMIN,14311351
AE,TMAX,14265736
BC,TMIN,14244731
CE,TAVG,14145190
PS,TMAX,14073511
AQ,FMTM,14066975
PS,FMTM,14018916
EZ,TAVG,13917714
RI,TMAX,13869903
CD,TAVG,13859807
JO,TAVG,13796511
SI,TMIN,13730554
US,WSFI,13647350
JO,TMAX,13431960
LH,TAVG,13398337
NO,TAVG,13324760
IO,PGTM,13231669
GQ,TMIN,13190491
SY,TMIN,13120439
VQ,FMTM,13119966
JQ,MNPN,1140638
GH,PRCP,1121892
PS,WDF2,1120576
NU,TMIN,1109018
AQ,ACSH,1105727
KS,WDFG,1096681
FM,PSUN,1090758
RM,AWND,1089929
US,SN55,1089041
FR,WSFG,1087866
SY,PRCP,1086453
BD,PRCP,1083588
GL,WESD,1080859
GQ,WDFM,1072186
RQ,WSF5,1072035
AQ,ACMH,1067379
BE,PRCP,1061620
BR,MDPR,1055933
NF,TMAX,1055609
RQ,TAVG,1053816
IO,WSFG,1040871
PS,WSFG,1038776
NU,PRCP,1033236
GQ,TAVG,1030203
US,SN23,1028575
AQ,MNPN,1022922
US,SN22,1021182
SE,PRCP,1009274
US,WT13,1000518
GA,TMIN,994164
BU,PRCP,993944
IT,WSFG,985687
JA,ACSH,980120
IZ,TMIN,969388
US,SX61,968349
WZ,TMAX,955743
RM,WDFM,952650
FM,WDMV,951813
MR,PRCP,937408
US,SN21,936146
FM,WDF1,933070
ER,TAVG,930961
LI,TMAX,914297
WZ,TMIN,913466
RM,WSF5,908527
ES,PRCP,906304
JA,ACMH,906070
